org;dest;sku;volume
SUP_9_in;SUP_9_out;47;2000,000000
SUP_9_in;SUP_9_out;48;2000,000000
SUP_9_in;SUP_9_out;49;2000,000000
FAC_0_in;FAC_0_out;0;0,000000
FAC_0_in;FAC_0_out;1;0,000000
FAC_0_in;FAC_0_out;2;200,000000
FAC_0_in;FAC_0_out;3;600,000000
FAC_0_in;FAC_0_out;4;6800,000000
FAC_0_in;FAC_0_out;5;1000,000000
FAC_0_in;FAC_0_out;6;0,000000
FAC_0_in;FAC_0_out;7;0,000000
FAC_0_in;FAC_0_out;8;6000,000000
FAC_0_in;FAC_0_out;9;0,000000
FAC_0_in;FAC_0_out;10;2000,000000
FAC_0_in;FAC_0_out;11;0,000000
FAC_0_in;FAC_0_out;12;4800,000000
FAC_0_in;FAC_0_out;13;2000,000000
FAC_0_in;FAC_0_out;14;0,000000
FAC_0_in;FAC_0_out;15;0,000000
FAC_0_in;FAC_0_out;16;5400,000000
FAC_0_in;FAC_0_out;17;3800,000000
FAC_0_in;FAC_0_out;18;2000,000000
FAC_0_in;FAC_0_out;19;3800,000000
FAC_0_in;FAC_0_out;20;0,000000
FAC_0_in;FAC_0_out;21;0,000000
FAC_0_in;FAC_0_out;22;3600,000000
FAC_0_in;FAC_0_out;23;0,000000
FAC_0_in;FAC_0_out;24;1400,000000
FAC_0_in;FAC_0_out;25;3200,000000
FAC_0_in;FAC_0_out;26;0,000000
FAC_0_in;FAC_0_out;27;0,000000
FAC_0_in;FAC_0_out;28;0,000000
FAC_0_in;FAC_0_out;29;0,000000
FAC_0_in;FAC_0_out;30;2000,000000
FAC_0_in;FAC_0_out;31;3000,000000
FAC_0_in;FAC_0_out;32;4000,000000
FAC_0_in;FAC_0_out;33;1600,000000
FAC_0_in;FAC_0_out;34;5400,000000
FAC_0_in;FAC_0_out;35;0,000000
FAC_0_in;FAC_0_out;36;2000,000000
FAC_0_in;FAC_0_out;37;5400,000000
FAC_0_in;FAC_0_out;38;2000,000000
FAC_0_in;FAC_0_out;39;4000,000000
FAC_0_in;FAC_0_out;40;0,000000
FAC_0_in;FAC_0_out;41;2000,000000
FAC_0_in;FAC_0_out;42;4000,000000
FAC_0_in;FAC_0_out;43;4000,000000
FAC_0_in;FAC_0_out;44;3600,000000
FAC_0_in;FAC_0_out;45;1800,000000
FAC_0_in;FAC_0_out;46;2000,000000
FAC_0_in;FAC_0_out;47;2000,000000
FAC_0_in;FAC_0_out;48;0,000000
FAC_0_in;FAC_0_out;49;0,000000
FAC_1_in;FAC_1_out;0;6000,000000
FAC_1_in;FAC_1_out;1;2400,000000
FAC_1_in;FAC_1_out;2;4000,000000
FAC_1_in;FAC_1_out;3;9800,000000
FAC_1_in;FAC_1_out;4;2400,000000
FAC_1_in;FAC_1_out;5;2000,000000
FAC_1_in;FAC_1_out;6;2000,000000
FAC_1_in;FAC_1_out;7;0,000000
FAC_1_in;FAC_1_out;8;0,000000
FAC_1_in;FAC_1_out;9;1000,000000
FAC_1_in;FAC_1_out;10;12000,000000
FAC_1_in;FAC_1_out;11;4800,000000
FAC_1_in;FAC_1_out;12;0,000000
FAC_1_in;FAC_1_out;13;2000,000000
FAC_1_in;FAC_1_out;14;0,000000
FAC_1_in;FAC_1_out;15;0,000000
FAC_1_in;FAC_1_out;16;0,000000
FAC_1_in;FAC_1_out;17;2000,000000
FAC_1_in;FAC_1_out;18;0,000000
FAC_1_in;FAC_1_out;19;0,000000
FAC_1_in;FAC_1_out;20;2000,000000
FAC_1_in;FAC_1_out;21;0,000000
FAC_1_in;FAC_1_out;22;4000,000000
FAC_1_in;FAC_1_out;23;800,000000
FAC_1_in;FAC_1_out;24;600,000000
FAC_1_in;FAC_1_out;25;0,000000
FAC_1_in;FAC_1_out;26;6000,000000
FAC_1_in;FAC_1_out;27;0,000000
FAC_1_in;FAC_1_out;28;4000,000000
FAC_1_in;FAC_1_out;29;1200,000000
FAC_1_in;FAC_1_out;30;0,000000
FAC_1_in;FAC_1_out;31;400,000000
